Clause_Number,Clause_Text,Category,Confidence,Risk_Score
366,"You may take a partial withdrawal only if the amount remaining in
the Contract after the withdrawal is at least equal to the Minimum Remaining Balance of $2,000 and
the balance remaining in the Variable Investment Option or Short-Term Fixed Account from which
the withdrawal is made is at least $250",Warranty,0.409,2
367,"If you take a withdrawal that brings the Contract Value to zero, your Contract
will be terminated (unless the Guaranteed Income Rider is present or the Accumulation Income
Rider is present)",Termination,0.603,3
368,"If you do not tell us otherwise, the withdrawal will be taken pro-rata from
the Variable Investment Options, and then any remaining amount will be taken from the Short-Term
Fixed Account",Warranty,0.681,2
369,"Within the Short-Term Fixed Account, partial withdrawals will be made from amounts
most recently allocated, renewed, or transferred",Warranty,0.482,2
370,"If there is not enough value in these accounts,
withdrawals will be taken from the Fixed Dollar Cost Averaging Account",Warranty,0.807,2
371,"Systematic Withdrawals
Systematic withdrawals are regular payments that we make to you on a monthly, quarterly, semi-annual, or
annual basis",Warranty,0.291,2
372,"It is a convenient way for you to withdraw your annual Free Withdrawal Amount without incurring a
Surrender Charge, as well as to take RMDs or withdrawals under optional benefits",Warranty,0.63,2
373,"Systematic withdrawals are
available if you have not exhausted your Free Withdrawal Amount in the current Contract Year",Warranty,0.572,2
374,"Currently, we offer the following systematic withdrawal options:
 
 
•
  Annual Free Withdrawal Amount,
 
 
•
  RMD,
 
 
•
  Guaranteed Annual Withdrawal Amount as specified by the Guaranteed Income Rider and
Accumulation Income Rider,
 
 
•
  Designated Withdrawal Amount (a fixed dollar amount), and
 
 
•
  Substantially Equal Periodic Payments under Code Section 72(q)/(t)",Warranty,0.308,2
375,"The total amount that you withdraw in a Contract Year under the systematic withdrawal plan cannot exceed
your Free Withdrawal Amount",Warranty,0.368,2
376,"However, RMD withdrawals and Guaranteed Annual Withdrawal Amounts under the
Guaranteed Income Rider and the Accumulation Income Rider can be taken systematically, even if they exceed your
Free Withdrawal Amount (although Surrender Charges may apply to any amount in excess of the Free Withdrawal
Amount)",Warranty,0.41,2
377,"The withdrawals can be taken on a monthly, quarterly, semi-annual, or annual basis, and the minimum
amount of each withdrawal payment is $50",Warranty,0.32,2
378,"We will adjust the frequency of your payments so that payments are at
least $50 each",Warranty,0.744,2
379,"For example, if you would like to withdraw $100 a year, you can set up annual or semi-annual
withdrawals, but not quarterly or monthly",Warranty,0.315,2
380,"Your payments will begin on the next withdrawal date following one modal
period after we receive your request",Warranty,0.633,2
381,"For example, if we receive your request for quarterly withdrawals on January 3,
and the next withdrawal date is the 8th of the month, your quarterly withdrawals will begin on April 8",Warranty,0.58,2
382,"Please note that
no confirmations will be sent on systematic withdrawals but will be reflected on statements",Payment Terms,0.592,2
383,"For information on the tax
treatment of withdrawals, see “How Is the Contract Treated Under Federal Income Tax Law?” below",Governing Law,0.225,1
384,"In the Contract Year when the systematic withdrawals are elected for the first time, the entire amount of the
withdrawal requested will be disbursed among the remaining systematic withdrawal payments to be made prior to the
next Contract Anniversary",Warranty,0.385,2
385,"Systematic withdrawal amounts will then be recalculated upon the next Contract
Anniversary to reflect the annual withdrawal amount requested and a full year of systematic payments",Warranty,0.313,2
386,"For example, if
you request your Free Withdrawal Amount be withdrawn with monthly systematic withdrawals and there are four
months remaining in your Contract Year, you will receive the entire Free Withdrawal Amount divided by the four
payments remaining in your Contract Year",Warranty,0.555,2
387,"Upon your next Contract Anniversary, your monthly systematic withdrawal
payment will be recalculated to be 1/12 of the annual Free Withdrawal Amount",Warranty,0.371,2
388,"This could result in lower systematic
withdrawal payments in your second year of withdrawal",Warranty,0.29,2
389,"The Free Withdrawal Amount will not be recalculated to reflect
Subsequent Purchase Payments until the next Contract Anniversary",Warranty,0.407,2
390,"If you do not tell us otherwise, the withdrawal will be taken pro-rata from the
Variable Investment Options, and then any remaining amount will be taken from the Short-Term Fixed Account",Warranty,0.681,2
391,"Within
the Short-Term Fixed Account, partial withdrawals will be made from amounts most recently allocated, renewed, or
transferred",Warranty,0.482,2
392,"If there is not enough value in these accounts, withdrawals will be taken from the Fixed Dollar Cost
Averaging Account",Warranty,0.807,2
393,"To stop the systematic withdrawals or to change the amount or
the frequency of the withdrawals once systematic withdrawals are initiated, you must submit a request by sending a
written notice to our Administrative Office or calling Customer Service",Warranty,0.653,2
394,"The systematic withdrawals will terminate upon
the earlier of the death of the Contract Owner or the Annuitant, or upon Contract Owner’s request",Indemnification,0.574,3
395,"Systematic
withdrawals will be subject to Surrender Charge if the annual amount withdrawn exceeds the Free Withdrawal Amount",Warranty,0.62,2
396,"All withdrawals during the Contract Year are considered in the determination of the Free Withdrawal Amount withdrawn
and the point at which Surrender Charges will be assessed for additional withdrawals",Warranty,0.556,2
397,"Substantially Equal Periodic Payments under Code Sections 72(q) or 72(t)
If a withdrawal is taken from the annuity contract before age 59 1⁄2, the IRS generally imposes a 10% early
withdrawal penalty on such distributions",Indemnification,0.198,3
398,"However, substantially equal periodic payments under Code Section 72(q) or
72(t) are exempt from the 10% penalty tax on early distributions",Force Majeure,0.222,1
399,"If you choose to exercise this option, you will be
required to irrevocably choose one of the three acceptable methods (as defined by IRS guidance) and receive these
payments until the later of five years or attainment of age 59 1⁄2",Confidentiality,0.344,1
400,"If you wish to take withdrawals under Code Sections 72(q) or 72 (t) (prior to age 59 1⁄2 of the Contract
Owner, or Annuitant for entity owned Contracts), you may do so systematically",Indemnification,0.346,3
401,"Section 72 (q)/(t) withdrawals do not
receive any special treatment under the Surrender Charge provision",Indemnification,0.298,3
402,"If your withdrawal exceeds the annual Free
Withdrawal Amount, you will be subject to Surrender Charges as shown in the “Surrender Charge” section under “What
Are the Fees and Charges Under the Contract?” If you purchased an optional benefit with your Contract, please refer
to the appropriate optional benefit section for details on substantially equal periodic payments’ treatment under your
optional benefit",Warranty,0.329,2
403,"Revocation Rights
If you are a new purchaser of a Contract, you may cancel your Contract within 10 days of receiving it without
paying fees or penalties",Warranty,0.306,2
404,If the Contract is a “Replacement Contract” (i,Termination,0.325,3
405,", it has been purchased with the proceeds
from the surrender of another annuity contract you own), it may be cancelled within 30 days of receipt",Termination,0.502,3
406,"In either
situation, simply mail the Contract to the Company or the financial professional through whom it was purchased, along
with a written request to cancel the Contract based on this provision",Indemnification,0.576,3
407,"The Company will refund the amount calculated in
accordance with state law, which is generally the Contract Value and any fees or charges deducted as of the date the
notification and the Contract are received",Indemnification,0.686,3
408,"What Is Annuitization and How Do I Annuitize the Deferred Variable Annuity Contract?
Annuitization
Annuitization is a process by which your Contract Value is converted into a stream of regular income
payments",Warranty,0.619,2
409,You may choose to annuitize your Contract after the first Contract Anniversary,Termination,0.468,3
410,"The Guaranteed Income
Rider and the Accumulation Income Rider may impose different Annuitization and maturity processing requirements
than described below",Warranty,0.466,2
411,"Partial Annuitization on Non-Qualified Contracts
Partial Annuitization is an irrevocable election by the Contract Owner to apply only a portion of the Contract
Value to purchase a stream of annuity payments under the Contract, leaving the remainder of the Contract Value to
accumulate on a tax-deferred basis",Termination,0.281,3
412,"Partial Annuitization is only available on Non-Qualified Contracts, on or after the third Contract Anniversary",Termination,0.369,3
413,"Partial Annuitization will be processed as of the date the written request from the Contract Owner and all required
documentation is received by the Company",Warranty,0.64,2
414,"If you enter the Withdrawal Phase under either the Guaranteed Income Rider or the Accumulation Income
Rider, partial Annuitization is no longer available to you",Warranty,0.489,2
415,"You may only elect three partial Annuitizations during the life of your Contract, and at least 12 months must
elapse between partial Annuitizations",Indemnification,0.217,3
416,"The amount requested for partial Annuitization must be at least $5,000 and
cannot exceed 50% of your Contract Value",Warranty,0.452,2
417,"21
Partial Annuitization will decrease the Contract Value and Surrender Charge Basis dollar-for-dollar; it will
decrease the death benefit base proportionately or dollar-for-dollar, whichever is greater",Warranty,0.278,2
418,Amounts applied to partial Annuitization are not subject to Surrender Charges,Force Majeure,0.312,1
419,"They are also not taxed as a
withdrawal under the deferred Contract provided the Annuitization option includes a life contingency",Termination,0.327,3
420,"Annuitized and non-annuitized portions of the Contract will be treated as separate Contracts for tax and
administrative purposes, and different Annuity Dates will be established with respect to the annuitized and
non-annuitized portions of the Contract",Indemnification,0.455,3
421,"For exclusion ratio purposes, “investment in the contract” will be allocated proportionately between the
annuitized and non-annuitized portions of the Contract",Warranty,0.419,2
422,"This proportional allocation will also apply for other tax
treatment purposes under Code Section 72 governing the exclusion ratio, investment in the contract, expected return,
annuity starting date, and amounts not received as an annuity",Indemnification,0.245,3
423,"To be eligible for the exclusion ratio, the amounts must be received as an annuity for a period of 10 years or
more, or for life",Confidentiality,0.282,1
424,"We may change Contract provisions related to partial Annuitization, if required by IRS regulations or other
applicable laws",Indemnification,0.478,3
425,"Annuity Date
The Annuity Date is the date on which annuity payments begin, transitioning from the accumulation phase to
the Annuitization phase, based on the elected Annuity option or the default option",Warranty,0.462,2
426,"The date annuity payments are
scheduled to begin is shown on your Contract Specifications Page",Payment Terms,0.521,2
427,"Unless another Annuity Date was specified on the
application or requested later by written notification, the Annuity Date will be set to the later of (a) the first Monthly
Anniversary following the younger Annuitant reaching the Maturity Age, or (b) the 10th Contract Anniversary",Payment Terms,0.311,2
428,"The
Annuity Date must be at least one year after the Contract Date",Payment Terms,0.256,2
429,"You may change the Annuity Date by sending a written request to our Administrative Office, which must be
received by us at least 30 days before the current Annuity Date",Payment Terms,0.826,2
430,"On the Annuity Date, the Contract Value, net of premium taxes if applicable, must be annuitized",Indemnification,0.404,3
431,"Upon your
request or on the Annuity Date described in your Contract, you may apply the Contract Value to any of the annuity
options available in the “Annuity Options” section of the Contract, at guaranteed annuity rates described in the
Contract",Indemnification,0.379,3
432,You can also elect to surrender the Contract and receive the Surrender Value,Termination,0.413,3
433,"Any Contract Value applied to
an Annuity Option on the Annuity Date will become part of the Company’s general account, which is subject to the
claims of the Company’s creditors",Indemnification,0.64,3
434,A notification that an Annuity option must be selected will be sent to you 60 days prior to your Annuity Date,Warranty,0.494,2
435,You must select an Annuity option and notify us of your election at least 30 days prior to the Annuity Date,Payment Terms,0.613,2
436,"In the event
no response is received from you, and if the Annuity Date is less than the maximum maturity date, the Annuity Date will
be changed to the maximum maturity date",Warranty,0.754,2
437,"If the maximum maturity date has been reached, and you did not specify an
Annuity option, the Contract Value will be annuitized on the Annuity Date based on an applicable default option",Warranty,0.77,2
438,"If the
Guaranteed Income Rider or the Accumulation Income Rider is in force on the Annuity Date, the default option will be
determined by the state of the optional benefit features at the time",Warranty,0.591,2
439,"If the Guaranteed Income Rider or the
Accumulation Income Rider is not in force on the Annuity Date, the default option is the Life Annuity with Period Certain
of 10 years",Termination,0.324,3
440,"Annuity Options
On or after the first Contract Anniversary, you may choose to annuitize your Contract and apply your
Contract Value to one of the following fixed Annuity options at guaranteed annuity rates described in the Contract:
 
 
•
  Period Certain-Only Option",Warranty,0.437,2
441,"Provides periodic income payments for a guaranteed period ranging
from five to 30 years (the guaranteed period may not exceed the Annuitant’s life expectancy as
defined by the IRS Life Expectancy Table for Qualified Contracts)",Confidentiality,0.369,1
442,"If the Annuitant dies prior to the
end of the guaranteed period, payments will continue to be paid to the designated Beneficiary(ies)
until the end of the guaranteed period",Indemnification,0.388,3
443,Provides periodic payments guaranteed for the lifetime of the Annuitant,Indemnification,0.434,3
444,"The last
payment will be the one that is due before the Annuitant’s death",Indemnification,0.269,3
445,"Upon the death of the Annuitant,
payments will cease and there will be no payments made to any Beneficiary",Indemnification,0.456,3
446,"If the Annuitant dies
before the first payment has been made, then no payments will be made under this option",Warranty,0.42,2
447,"Provides periodic income payments for the lifetime of the Annuitant,
which are guaranteed for a period of time (“Period Certain”)",Indemnification,0.366,3
448,"The guaranteed period can range from
five to 30 years",Termination,0.266,3
449,"If the Annuitant dies prior to the end of the Period Certain, payments will continue to
be paid to the designated Beneficiary(ies) until the end of the Period Certain",Indemnification,0.494,3
450,"If the Annuitant lives
longer than the Period Certain, payments will continue until the Annuitant dies, but there will be no
payment to any Beneficiary",Indemnification,0.284,3
451,"Provides periodic payments for the lives of the Annuitant and the
Joint Annuitant",Indemnification,0.714,3
452,"Upon the death of either Annuitant, and based on the percentage initially selected,
payments will continue at a level of 100%, 75%, 66 2/3%, or 50% of the original benefit amount for
the lifetime of the surviving Annuitant",Intellectual Property,0.328,2
453,"The initial payment will be made if either the Annuitant or the
designated second Annuitant are living",Indemnification,0.481,3
454,"Subsequent payments will continue during the joint lives of
the Annuitants and thereafter during the life of the surviving Annuitant",Indemnification,0.445,3
455,"Payments will end with the
last payment due before the death of the last Annuitant to die",Payment Terms,0.373,2
456,"After the deaths of both Annuitants,
payments will cease and there will be no payments to any Beneficiary",Payment Terms,0.333,2
457,"If both Annuitants die before
the first payment has been made, then no payments will be made under this option",Warranty,0.366,2
458,"•
  Any other form of annuity that you and we may agree upon",Indemnification,0.518,3
459,"If the maximum maturity date has been reached, and an Annuity option has not been specified by the
Contract Owner, the Contract Value will be annuitized on the Annuity Date based on a Life Annuity with Period Certain
of 10 years (default option) unless otherwise provided under the Code",Warranty,0.463,2
460,"Annuity Payments
The Contract Value on the day immediately preceding the Annuity Date, and the guaranteed annuity rates
described in the Contract, will be used to determine the annuity payment",Warranty,0.318,2
461,"If your Contract Value to be applied to the
selected Annuity option on the Annuity Date is less than $5,000, we may pay you such amount in a lump sum",Warranty,0.364,2
462,"The size of annuity payments is determined by a number of factors, including the amount of your
investment, your age at the time of Annuitization, the form of annuity chosen, the expected length of the annuity period,
the frequency of annuity payments and their duration, and a guaranteed rate of return",Warranty,0.553,2
463,"After annuity payments begin,
no withdrawals may be made other than receipt of annuity payments",Payment Terms,0.726,2
464,"The Annuity option cannot thereafter be changed,
and the size of your annuity payments will not change",Warranty,0.593,2
465,"The annuity benefits at the time of their commencement will not be less than those that would be provided
by the application of the Surrender Value to purchase a single premium immediate annuity contract at purchase rates
offered by the Company at the time to the same class of Annuitants",Indemnification,0.45,3
466,Annuity payments will generally start within 30 days after the Annuity Date,Payment Terms,0.912,2
467,"We usually make annuity
payments monthly, but we will pay you quarterly, semi-annually, or annually, if you prefer",Indemnification,0.317,3
468,"The less frequently we make
payments, the larger each payment will be",Warranty,0.467,2
469,"If necessary, we will adjust the frequency of your payments so that
payments are at least $50 each",Warranty,0.759,2
470,"For information on the tax treatment of annuity payments, see “How Is the Contract
Treated Under Federal Income Tax Law?” Payments under all options will be made to or at the direction of the Contract
Owner and may be elected as early as the first Contract Anniversary",Indemnification,0.266,3
471,"ADDITIONAL INFORMATION ABOUT FEES
The following tables describe the fees and expenses that you will pay when buying, owning, and
surrendering or making withdrawals from the Contract",Warranty,0.274,2
472,"Please refer to your Contract Specifications Page for
information about the specific fees you will pay each year based on the options you have elected",Warranty,0.467,2
473,"The first table describes the fees and expenses that you will pay at the time that you buy the
Contract, surrender, or make withdrawals from the Contract, or transfer Contract Value between Investment
Options",Warranty,0.612,2
474,"1
 
23
Transaction Expenses
 
Sales Load Imposed on Purchases (as a percentage of Purchase Payments)
    None 
Maximum Surrender Charges (as a percentage of Purchase Payment surrendered)
   8",Termination,0.225,3
475,"00%2 
Maximum Transfer Fee
   
$203 
  
1
As of the date of this Summary Prospectus state premium taxes generally range from 0",Intellectual Property,0.319,2
476,"2
Surrender Charges are expressed as a percentage of the amount of the Purchase Payment surrendered and may vary by state",Warranty,0.291,2
477,"The percentage
charge we use is determined by the number of years since receipt of the Purchase Payment to which the charge relates if you make a
withdrawal or surrender your Contract to receive its cash value",Warranty,0.556,2
478,"Number of full years since
Purchase Payment
  
Applicable
Surrender Charge
 
0
  
8",Intellectual Property,0.612,2
479,"00%
 
3
For transfers other than Dollar Cost Averaging and Automatic Asset Rebalancing, the transfer fee is currently $0",Intellectual Property,0.339,2
480,"We reserve the right to restrict
frequency of transfers or market timing in our sole discretion, and to impose a transfer fee in the future",Indemnification,0.431,3
481,"Any transfer fee we impose would not
exceed $20",Confidentiality,0.376,1
482,"The next table describes the fees and expenses that you will pay each year during the time that you
own the Contract (not including Portfolio fees and expenses)",Warranty,0.376,2
483,"If you choose to purchase an optional benefit, you will pay additional charges, as shown below",Warranty,0.348,2
484,"The
charges shown below represent the maximum fees for each of the optional benefits",Warranty,0.324,2
485,"The current charges are
shown in the accompanying footnotes",Force Majeure,0.275,1
486,"Annual Contract Expenses
 
Administrative Expenses
   
$401 
Base Contract Expenses (as a percentage of Variable Account Value)2
   1",Intellectual Property,0.33,2
487,"40% 
Optional Benefit Expenses (as a percentage of benefit base or Variable Account Value as applicable):   
Accumulation Income Rider
   2",Intellectual Property,0.313,2
488,"75%5 
Guaranteed Minimum Accumulation Rider
   1",Intellectual Property,0.306,2
489,"00% of the Variable Account Value, whichever is less",Warranty,0.698,2
490,"You do not pay this charge if your Variable Account Value is $50,000 or
more",Warranty,0.386,2
491,"2
Amount shown does not include any optional benefit Riders",Intellectual Property,0.205,2
492,"3
The current annual charge for the Accumulation Income Rider is 1",Intellectual Property,0.434,2
493,"The
charge is expressed as an annual percentage; it will be assessed on the Accumulation Income Benefit Base and will be deducted from the
Contract Value on a quarterly basis",Termination,0.261,3
494,"4
The current annual charge for the Guaranteed Income Rider is 1",Termination,0.307,3
495,"The
charge is expressed as an annual percentage; it will be assessed on the Guaranteed Income Benefit Base and will be deducted from the
Contract Value on a quarterly basis",Termination,0.261,3
496,"5
The current annual charge for the Enhanced Death Benefit Rider is 0",Intellectual Property,0.448,2
497,"The charge is expressed as an annual percentage; it will be
assessed on the Enhanced Death Benefit Base and will be deducted from the Contract Value on a quarterly basis",Warranty,0.261,2
498,"6
The current annual charge for the Guaranteed Minimum Accumulation Rider is 0",Warranty,0.285,2
499,"The charge is expressed as an annual percentage; it will
be assessed on the Accumulation Benefit Base and will be deducted from the Contract Value on a quarterly basis",Warranty,0.259,2
500,"24
Portfolios’ Annual Operating Expenses
The next table shows the minimum and maximum total operating expenses charged by the
Portfolios that you may pay periodically during the time that you own the Contract",Warranty,0.295,2
501,"Portfolio expenses may be
higher or lower in the future",Confidentiality,0.277,1
502,"A complete list of Portfolios available under the Contract, including their annual
expenses, may be found in Appendix A to this Summary Prospectus",Indemnification,0.364,3
503,"Annual Portfolio Expenses1
  
Minimum  
Maximum
(expenses that are deducted from Portfolio assets, including management fees,
distribution (12b-1) fees, and other expenses)
  
0",Intellectual Property,0.348,2
504,"41%
  
1
Expressed as a percentage of average net assets for the fiscal year ended December 31, 2022",Intellectual Property,0.677,2
505,"Fund expenses may be higher or lower in the
future",Payment Terms,0.38,2
506,"This information is provided by the Portfolios and their agents, and is based on the expenses of each Portfolio’s most recently completed
fiscal year",Warranty,0.336,2
507,"EXAMPLES
These examples are intended to help you compare the cost of investing in the Contract with the cost of
investing in other variable annuity contracts",Warranty,0.489,2
508,"These costs include transaction expenses, annual Contract expenses, and
annual Portfolio expenses",Confidentiality,0.283,1
509,"The examples assume that you invest $100,000 in the Contract for the time periods indicated",Warranty,0.653,2
510,"The
Example also assumes that your investment has a 5",Warranty,0.663,2
511,"The maximum expenses examples
assume the most expensive combination of annual Portfolio expenses and optional benefits available for an
additional charge",Warranty,0.473,2
512,"The minimum expenses examples assume the least expensive annual Portfolio expenses
and that no optional benefits are purchased",Warranty,0.483,2
513,"Although your actual costs may be higher or lower, based on
these assumptions, your costs would be:
Maximum Expenses Examples
If you surrender your Contract at the end of the applicable time period and have purchased optional benefits
with maximum charges1:
 
          
  
                                         
  
One
      Year        
Three
      Years        
Five
      Years        
Ten
      Years      
  
Deferred Variable Annuity
  
$12,251
  
$20,844
  
$29,852
  
$55,282
If you do not surrender your Contract or if you annuitize at the end of the applicable time period and you
have purchased optional benefits with maximum charges1:
 
          
  
                                         
  
One
      Year        
Three
      Years        
Five
      Years        
Ten
      Years      
  
Deferred Variable Annuity
  
$5,059
  
$15,481
  
$26,317
  
$55,282
Minimum Expenses Examples
If you surrender your Contract at the end of the applicable time period and have not purchased any optional
benefits2:
 
          
  
                                         
  
One
      Year        
Three
      Years        
Five
      Years        
Ten
      Years      
  
Deferred Variable Annuity
  
$8,736
  
$10,172
  
$11,837
  
$18,015
 
25
If you do not surrender your Contract or if you annuitize at the end of the applicable time period and have
not purchased any optional benefits2:
 
          
  
                                         
  
One
      Year        
Three
      Years        
Five
      Years        
Ten
      Years      
  
Deferred Variable Annuity
  
$1,536
  
$4,772
  
$8,237
  
$18,015
 
 
1   Assumes the Accumulation Income Rider and the Enhanced Death Benefit Rider are purchased and maximum Rider Charges of 3",Termination,0.441,3
514,"This
Example also assumes maximum Portfolio expenses of 0",Warranty,0.53,2
515,2   Assumes that no optional benefit Riders are purchased and minimum Portfolio expenses of 0,Warranty,0.711,2
516,Certain Contract charges are currently assessed at less than their maximum levels,Warranty,0.245,2
517,"We may increase these
current charges in the future up to the guaranteed maximum levels, as determined in the Company’s sole discretion",Warranty,0.31,2
518,"Without limiting the foregoing, the Company may increase current charges due to the Company’s experience with
respect to mortality, expenses, taxes, persistency, capital requirements, reserve requirements, and changes in
applicable laws",Confidentiality,0.362,1
519,"Although some Portfolios may have expense limitation agreements, the operating expenses of the
Portfolios are not guaranteed and may increase or decrease over time",Warranty,0.378,2
520,"26
 
APPENDIX A
PORTFOLIO COMPANIES AVAILABLE UNDER THE DEFERRED VARIABLE ANNUITY CONTRACT
The following is a list of Portfolios available under the Contract",Warranty,0.221,2
521,"More information about the Portfolios is
available in the prospectuses for the Portfolios, which may be amended from time to time and can be found online at
www",Warranty,0.447,2
522,com/for-individuals-and-businesses/products-and-performance/performance-and-rates,Intellectual Property,0.377,2
523,"You can also
request this information at no cost by calling 1-800-523-0650 or by sending an email request to
FundOperations@pennmutual",Warranty,0.738,2
524,"The current expenses and performance information below reflects fees and expenses of the Portfolios, but
does not reflect the other fees and expenses that your Contract may charge",Warranty,0.36,2
525,"Expenses would be higher and
performance would be lower if these other charges were included",Warranty,0.398,2
526,"Each Portfolio’s past performance is not necessarily
an indication of future performance",Confidentiality,0.422,1
527,"PORTFOLIO
TYPE
  
PORTFOLIO AND
ADVISER/SUBADVISER
  
CURRENT
    EXPENSES      
AVERAGE ANNUAL TOTAL
RETURNS (as of 12/31/2022)
   1 YEAR      5 YEAR      10 YEAR   
Vanguard Variable Insurance Fund
Domestic
Large Blend
  
Equity Index Portfolio
 
The Vanguard Group, Inc",Intellectual Property,0.28,2
528,"40%
Domestic
Large Blend
  
Total Stock Market Index Portfolio
 
The Vanguard Group, Inc",Intellectual Property,0.39,2
529,"92%
Intermediate-
Term Bond
  
Global Bond Index Portfolio
 
The Vanguard Group, Inc",Intellectual Property,0.287,2
530,"12%
  
N/A
Domestic Mid
Blend
  
Mid-Cap Index Portfolio
 
The Vanguard Group, Inc",Intellectual Property,0.36,2
531,"95%
Moderate
Allocation
  
Moderate Allocation Portfolio
 
The Vanguard Group, Inc",Intellectual Property,0.526,2
532,"14%
Intermediate-
Term Bond
  
Total Bond Market Index Portfolio
 
The Vanguard Group, Inc",Confidentiality,0.289,1
533,"92%
International
Large Blend
  
Total International Stock Market Index
Portfolio
 
The Vanguard Group, Inc",Intellectual Property,0.449,2
534,"01%
  
N/A
Conservative
Allocation
  
Conservative Allocation Portfolio
 
The Vanguard Group, Inc",Intellectual Property,0.473,2
535,"52%
Moderate
Allocation
  
Balanced Portfolio
 
Wellington Management Company LLP
(Adviser)
  
0",Intellectual Property,0.652,2
536,"41%
Domestic
Large Growth
  
Capital Growth Portfolio
 
PRIMECAP Management Company
(Adviser)
  
0",Intellectual Property,0.727,2
537,"75%
Domestic
Large Value
  
Diversified Value Portfolio
 
Hotchkis and Wiley Capital
Management LLC (Adviser) and Lazard
Asset Management LLC (Adviser)
  
0",Intellectual Property,0.471,2
538,"08%
 
A-1
PORTFOLIO
TYPE
  
PORTFOLIO AND
ADVISER/SUBADVISER
  
CURRENT
    EXPENSES      
AVERAGE ANNUAL TOTAL
RETURNS (as of 12/31/2022)
   1 YEAR      5 YEAR      10 YEAR   
Domestic
Large Value
  
Equity Income Portfolio
 
Wellington Management Company
LLP (Adviser) and The Vanguard
Group, Inc",Intellectual Property,0.517,2
539,"58%
Domestic
Large Growth
  
Growth Portfolio
 
Wellington Management Company
LLP (Adviser)
  
0",Intellectual Property,0.8,2
540,"49%
High Yield
Bond
  
High Yield Bond Portfolio
 
Wellington Management Company
LLP (Adviser) and The Vanguard
Group, Inc",Intellectual Property,0.236,2
541,"64%
International
Large Growth
  
International Portfolio
 
Baillie Gifford Overseas Ltd",Intellectual Property,0.473,2
542,"(Adviser)
and Schroder Investment
Management North America Inc",Confidentiality,0.244,1
543,"58%
Real Estate
  
Real Estate Index Portfolio
 
The Vanguard Group, Inc",Intellectual Property,0.344,2
544,"36%
Domestic
Small Growth
  
Small Company Growth Portfolio
 
ArrowMark Colorado Holdings LLC
(Adviser) and The Vanguard Group,
Inc",Intellectual Property,0.454,2
545,"06%
 
A-2
The Prospectus and Statement of Additional Information (the “SAI”) include additional information about the
Deferred Variable Annuity Contract",Warranty,0.593,2
546,"These documents are available without charge upon request from The Penn
Insurance and Annuity Company, Attn: SAI Request, PO Box 178, Philadelphia, Pennsylvania 19105",Payment Terms,0.357,2
547,"Or you can call
us toll-free at 1-800-523-0650 or visit our website at www",Payment Terms,0.297,2
548,"The Prospectus and SAI, both dated [insert
date] are incorporated by reference into this Summary Prospectus and, therefore, both are legally a part of this
Summary Prospectus",Governing Law,0.335,1
549,The SEC EDGAR Contract Identifier for the Deferred Variable Annuity Contract is C000245971,Warranty,0.562,2
